"Country","Day","Confirmed","Deaths","Recovered"
"Taiwan*",1,48,1,17
"Taiwan*",2,49,1,20
"Taiwan*",3,50,1,20
"Taiwan*",4,53,1,20
"Taiwan*",5,59,1,20
"Taiwan*",6,67,1,20
"Taiwan*",7,77,1,22
"Taiwan*",8,100,1,22
"Taiwan*",9,108,1,26
"Taiwan*",10,135,2,26
"Taiwan*",11,153,2,28
"Taiwan*",12,169,2,28
"Taiwan*",13,195,2,28
"Taiwan*",14,215,2,29
"Taiwan*",15,235,2,29
"Taiwan*",16,252,2,29
"Taiwan*",17,267,2,29
"Taiwan*",18,283,2,30
"Taiwan*",19,298,2,30
"Taiwan*",20,306,5,39
"Taiwan*",21,322,5,39
"Taiwan*",22,329,5,39
"Taiwan*",23,339,5,45
"Taiwan*",24,348,5,50
"Taiwan*",25,355,5,50
"Taiwan*",26,363,5,50
"Taiwan*",27,373,5,57
"Taiwan*",28,376,5,57
"Taiwan*",29,379,5,61
"Taiwan*",30,380,5,67
