"Country","Day","Confirmed","Deaths","Recovered"
"Togo",1,1,0,0
"Togo",2,1,0,0
"Togo",3,1,0,0
"Togo",4,1,0,0
"Togo",5,1,0,0
"Togo",6,1,0,0
"Togo",7,1,0,0
"Togo",8,1,0,0
"Togo",9,1,0,0
"Togo",10,1,0,0
"Togo",11,1,0,0
"Togo",12,1,0,0
"Togo",13,1,0,0
"Togo",14,1,0,0
"Togo",15,9,0,1
"Togo",16,16,0,1
"Togo",17,16,0,0
"Togo",18,18,0,0
"Togo",19,20,0,1
"Togo",20,23,0,1
"Togo",21,23,0,1
"Togo",22,25,1,1
"Togo",23,25,1,1
"Togo",24,25,1,1
"Togo",25,30,1,1
"Togo",26,34,1,10
"Togo",27,36,2,10
"Togo",28,39,2,17
"Togo",29,40,3,17
"Togo",30,41,3,17
"Togo",31,44,3,20
"Togo",32,58,3,23
"Togo",33,65,3,23
"Togo",34,70,3,23
"Togo",35,73,3,24
