"Country","Day","Confirmed","Deaths","Recovered"
"Turkey",1,1,0,0
"Turkey",2,1,0,0
"Turkey",3,5,0,0
"Turkey",4,5,0,0
"Turkey",5,6,0,0
"Turkey",6,18,0,0
"Turkey",7,47,1,0
"Turkey",8,98,1,0
"Turkey",9,192,3,0
"Turkey",10,359,4,0
"Turkey",11,670,9,0
"Turkey",12,1236,30,0
"Turkey",13,1529,37,0
"Turkey",14,1872,44,0
"Turkey",15,2433,59,26
"Turkey",16,3629,75,26
"Turkey",17,5698,92,42
"Turkey",18,7402,108,70
"Turkey",19,9217,131,105
"Turkey",20,10827,168,162
"Turkey",21,13531,214,243
"Turkey",22,15679,277,333
"Turkey",23,18135,356,415
"Turkey",24,20921,425,484
"Turkey",25,23934,501,786
"Turkey",26,27069,574,1042
"Turkey",27,30217,649,1326
"Turkey",28,34109,725,1582
"Turkey",29,38226,812,1846
"Turkey",30,42282,908,2142
