"Country","Day","Confirmed","Deaths","Recovered"
"US",1,1,0,0
"US",2,1,0,0
"US",3,2,0,0
"US",4,2,0,0
"US",5,5,0,0
"US",6,5,0,0
"US",7,5,0,0
"US",8,5,0,0
"US",9,5,0,0
"US",10,6,0,0
"US",11,8,0,0
"US",12,8,0,0
"US",13,11,0,0
"US",14,11,0,0
"US",15,12,0,0
"US",16,12,0,0
"US",17,12,0,0
"US",18,12,0,0
"US",19,12,0,3
"US",20,12,0,3
"US",21,13,0,3
"US",22,13,0,3
"US",23,15,0,3
"US",24,15,0,3
"US",25,15,0,3
"US",26,15,0,3
"US",27,15,0,3
"US",28,15,0,3
"US",29,15,0,3
"US",30,15,0,3
"US",31,35,0,5
"US",32,35,0,5
"US",33,35,0,5
"US",34,53,0,5
"US",35,53,0,6
"US",36,59,0,6
"US",37,60,0,6
"US",38,62,0,7
"US",39,70,1,7
"US",40,76,1,7
"US",41,101,6,7
"US",42,122,7,8
"US",43,153,11,8
"US",44,221,12,8
"US",45,278,14,8
"US",46,417,17,8
"US",47,537,21,8
"US",48,605,22,8
"US",49,959,28,8
"US",50,1281,36,8
"US",51,1663,40,12
"US",52,2179,47,12
"US",53,2726,54,12
"US",54,3499,63,12
"US",55,4632,85,17
"US",56,6421,108,17
"US",57,7786,118,106
"US",58,13680,200,108
"US",59,19101,244,147
"US",60,25514,307,171
"US",61,33848,427,0
"US",62,43663,548,0
"US",63,53736,658,0
"US",64,65778,907,0
"US",65,83836,1159,0
"US",66,101657,1485,0
"US",67,121465,1902,0
"US",68,140909,2288,0
"US",69,161831,2665,0
"US",70,188172,3364,0
"US",71,213372,4130,0
"US",72,243599,5197,0
"US",73,275586,6064,0
"US",74,308853,7175,0
"US",75,337072,8337,0
"US",76,366667,10403,0
"US",77,396223,12537,0
"US",78,429052,14483,0
"US",79,461437,16283,0
