"Country","Day","Confirmed","Deaths","Recovered"
"Uruguay",1,4,0,0
"Uruguay",2,4,0,0
"Uruguay",3,8,0,0
"Uruguay",4,29,0,0
"Uruguay",5,50,0,0
"Uruguay",6,79,0,0
"Uruguay",7,94,0,0
"Uruguay",8,110,0,0
"Uruguay",9,135,0,0
"Uruguay",10,158,0,0
"Uruguay",11,162,0,0
"Uruguay",12,189,0,0
"Uruguay",13,217,0,0
"Uruguay",14,238,0,0
"Uruguay",15,274,0,0
"Uruguay",16,304,1,0
"Uruguay",17,310,1,0
"Uruguay",18,338,1,41
"Uruguay",19,338,2,41
"Uruguay",20,350,4,62
"Uruguay",21,369,4,68
"Uruguay",22,400,5,93
"Uruguay",23,400,5,93
"Uruguay",24,406,6,104
"Uruguay",25,424,7,150
"Uruguay",26,424,7,150
"Uruguay",27,456,7,192
