"Country","Day","Confirmed","Deaths","Recovered"
"Uzbekistan",1,1,0,0
"Uzbekistan",2,6,0,0
"Uzbekistan",3,10,0,0
"Uzbekistan",4,15,0,0
"Uzbekistan",5,23,0,0
"Uzbekistan",6,33,0,0
"Uzbekistan",7,43,0,0
"Uzbekistan",8,43,0,0
"Uzbekistan",9,46,0,0
"Uzbekistan",10,50,0,0
"Uzbekistan",11,60,0,0
"Uzbekistan",12,75,0,0
"Uzbekistan",13,88,1,5
"Uzbekistan",14,104,2,5
"Uzbekistan",15,144,2,7
"Uzbekistan",16,149,2,7
"Uzbekistan",17,172,2,7
"Uzbekistan",18,181,2,12
"Uzbekistan",19,205,2,25
"Uzbekistan",20,227,2,25
"Uzbekistan",21,266,2,25
"Uzbekistan",22,342,2,30
"Uzbekistan",23,457,2,30
"Uzbekistan",24,520,2,30
"Uzbekistan",25,545,3,30
"Uzbekistan",26,582,3,38
