"Country","Day","Confirmed","Deaths","Recovered"
"Vietnam",1,2,0,0
"Vietnam",2,2,0,0
"Vietnam",3,2,0,0
"Vietnam",4,2,0,0
"Vietnam",5,2,0,0
"Vietnam",6,2,0,0
"Vietnam",7,2,0,0
"Vietnam",8,2,0,0
"Vietnam",9,2,0,0
"Vietnam",10,6,0,1
"Vietnam",11,6,0,1
"Vietnam",12,8,0,1
"Vietnam",13,8,0,1
"Vietnam",14,8,0,1
"Vietnam",15,10,0,1
"Vietnam",16,10,0,1
"Vietnam",17,13,0,1
"Vietnam",18,13,0,1
"Vietnam",19,14,0,1
"Vietnam",20,15,0,6
"Vietnam",21,15,0,6
"Vietnam",22,16,0,7
"Vietnam",23,16,0,7
"Vietnam",24,16,0,7
"Vietnam",25,16,0,7
"Vietnam",26,16,0,7
"Vietnam",27,16,0,7
"Vietnam",28,16,0,7
"Vietnam",29,16,0,7
"Vietnam",30,16,0,14
"Vietnam",31,16,0,14
"Vietnam",32,16,0,14
"Vietnam",33,16,0,14
"Vietnam",34,16,0,16
"Vietnam",35,16,0,16
"Vietnam",36,16,0,16
"Vietnam",37,16,0,16
"Vietnam",38,16,0,16
"Vietnam",39,16,0,16
"Vietnam",40,16,0,16
"Vietnam",41,16,0,16
"Vietnam",42,16,0,16
"Vietnam",43,16,0,16
"Vietnam",44,16,0,16
"Vietnam",45,18,0,16
"Vietnam",46,30,0,16
"Vietnam",47,30,0,16
"Vietnam",48,38,0,16
"Vietnam",49,39,0,16
"Vietnam",50,47,0,16
"Vietnam",51,53,0,16
"Vietnam",52,56,0,16
"Vietnam",53,61,0,16
"Vietnam",54,66,0,16
"Vietnam",55,75,0,16
"Vietnam",56,85,0,16
"Vietnam",57,91,0,16
"Vietnam",58,94,0,17
"Vietnam",59,113,0,17
"Vietnam",60,123,0,17
"Vietnam",61,134,0,17
"Vietnam",62,141,0,17
"Vietnam",63,153,0,20
"Vietnam",64,163,0,20
"Vietnam",65,174,0,21
"Vietnam",66,188,0,25
"Vietnam",67,203,0,55
"Vietnam",68,212,0,58
"Vietnam",69,218,0,63
"Vietnam",70,233,0,75
"Vietnam",71,237,0,85
"Vietnam",72,240,0,90
"Vietnam",73,241,0,90
"Vietnam",74,245,0,95
"Vietnam",75,249,0,123
"Vietnam",76,251,0,126
"Vietnam",77,255,0,128
