"","subj","gp","d11","d12","d13","d21","d22","d23"
"1",1,"1",19.0001,22,28,16,26,22
"2",2,"1",11,19,30,12,18,28
"3",3,"1",20,24,24,24,22,29
"4",4,"1",21,25,25,15,10,26
"5",5,"1",18,24,29,19,26,28
"6",6,"1",17,23,28,15,23,22
"7",7,"1",20,23,23,26,21,28
"8",8,"1",14,20,29,25,29,29
"9",9,"2",16,20,24,30,34,36
"10",10,"2",26,26,26,24,30,32
"11",11,"2",22,27,23,33,36,45
"12",12,"2",16,18,29,27,26,34
"13",13,"2",19,21,20,22,22,21
"14",14,"2",20,25,25,29,29,33
"15",15,"2",21,22,23,27,26,35
"16",16,"2",17,20,22,23,26,28
