"y";"x1";"x2";"i";"cluster"
1;-0,328;-0,364;1;"1"
1;0,554;1,029;1;"1"
1;2,718;2,429;1;"1"
1;1,798;0,69;1;"1"
0;-1,365;1,798;1;"1"
1;-0,714;-1,179;1;"1"
1;0,519;-0,626;1;"1"
1;-0,301;-0,438;1;"1"
1;1,12;-1,609;1;"1"
1;-0,611;-0,951;1;"1"
1;0,167;-0,064;1;"1"
1;-0,112;-0,441;1;"1"
1;1,398;0,678;1;"1"
1;0,317;-1,205;1;"1"
1;-0,637;0,047;1;"1"
1;-0,436;-1,131;1;"1"
1;-0,392;1,027;1;"1"
1;-1,14;-0,354;1;"1"
0;-0,749;1,543;1;"1"
1;2,552;-2,174;1;"1"
1;0,976;-0,792;1;"1"
1;-0,841;-0,995;1;"1"
1;0,296;-0,15;1;"1"
1;0,832;1,191;1;"1"
1;0,84;-0,203;1;"1"
1;0,625;0,488;1;"1"
1;-1,448;-1,643;1;"1"
1;0,178;-1,677;1;"1"
1;-0,279;-0,731;1;"1"
1;-0,588;0,346;1;"1"
1;0,334;-0,267;1;"1"
1;0,635;-0,332;1;"1"
1;-1,31;-1,28;1;"1"
1;-0,795;-0,09;1;"1"
1;-1,478;-0,295;1;"1"
1;1,761;-0,084;1;"1"
1;1,422;-0,307;1;"1"
1;0,508;0,843;1;"1"
0;0,386;1,571;1;"1"
1;-0,717;0,141;1;"1"
1;0,028;-0,269;1;"1"
1;1,622;-1,06;1;"1"
1;-0,65;0,725;1;"1"
1;1,985;1,114;1;"1"
1;1,446;-0,572;1;"1"
1;0,711;-0,229;1;"1"
0;-0,458;2,808;1;"1"
1;-0,906;-1,074;1;"1"
0;-1,635;2,068;1;"1"
1;0,461;0,248;1;"1"
1;-2,166;-1,91;1;"1"
1;0,455;0,531;1;"1"
1;-1,183;0,441;1;"1"
1;-0,311;-2,304;1;"1"
1;-0,932;-0,18;1;"1"
1;1,38;0,191;1;"1"
1;-0,779;0,724;1;"1"
1;-0,219;-0,45;1;"1"
1;0,745;-2,292;1;"1"
1;-0,447;-0,651;1;"1"
1;-0,58;-2,212;1;"1"
1;-0,46;-1,597;1;"1"
1;-0,208;-0,653;1;"1"
1;0,619;0,428;1;"1"
0;-0,7;0,65;1;"1"
1;-0,821;0,155;1;"1"
1;-0,337;0,706;1;"1"
1;0,425;-1,246;1;"1"
1;1,606;1,055;1;"1"
1;-0,722;0,241;1;"1"
1;0,869;0,084;1;"1"
1;-0,357;-0,526;1;"1"
1;-1,372;-0,266;1;"1"
0;-0,335;-1,06;1;"1"
1;0,105;0,893;1;"1"
1;-0,121;-0,218;1;"1"
1;-0,323;-2,796;1;"1"
1;0,238;0,551;1;"1"
1;1,916;0,226;1;"1"
1;-2,084;0,208;1;"1"
1;0,542;0,958;1;"1"
1;0,589;1,332;1;"1"
1;-0,21;1,15;1;"1"
1;-0,054;0,639;1;"1"
1;1,668;0,441;1;"1"
1;1,08;-0,19;1;"1"
1;-0,596;0,574;1;"1"
0;-2,681;1,475;1;"1"
0;0,843;1,619;1;"1"
1;0,229;0,299;1;"1"
1;0,151;1,674;1;"1"
1;-0,455;-0,996;1;"1"
1;-0,045;1,332;1;"1"
1;0,377;-0,571;1;"1"
1;0,086;1,373;1;"1"
1;0,543;-2,685;2;"2"
1;-0,289;0,698;2;"2"
0;1,332;1,27;2;"2"
0;0,051;0,497;2;"2"
0;-1,382;0,397;2;"2"
1;0,183;-0,891;2;"2"
1;-0,766;-1,821;2;"2"
0;2,23;-1,029;2;"2"
0;0,212;0,146;2;"2"
0;0,818;1,341;2;"2"
0;1,239;0,174;2;"2"
1;-0,104;-1,547;2;"2"
1;0,628;-0,32;2;"2"
1;0,477;-0,795;2;"2"
0;0,619;-0,899;2;"2"
0;1,353;-0,385;2;"2"
0;0,024;0,252;2;"2"
1;0,891;-0,202;2;"2"
0;-0,477;-0,285;2;"2"
1;-0,843;-1,412;2;"2"
1;-1,114;-2,057;2;"2"
0;-0,053;0,74;2;"2"
0;-0,228;1,677;2;"2"
0;-0,762;-0,078;2;"2"
1;-0,188;-0,455;2;"2"
0;0,418;0,469;2;"2"
0;-0,908;0,304;2;"2"
1;-0,297;-0,691;2;"2"
0;-0,082;-1,149;2;"2"
0;0,775;0,87;2;"2"
0;-0,312;-0,097;2;"2"
1;2,205;-0,349;2;"2"
1;0,816;-1,465;2;"2"
0;-1,429;0,781;2;"2"
1;1,277;-0,563;2;"2"
1;0,847;-2,316;2;"2"
0;-1,261;-0,207;2;"2"
0;-0,432;0,929;2;"2"
0;-0,104;0,598;2;"2"
0;0,51;0,048;2;"2"
0;-0,399;-0,014;2;"2"
0;0,268;-0,223;2;"2"
0;1,029;0,323;2;"2"
1;-0,089;-1,363;2;"2"
1;-0,619;-1,753;2;"2"
1;-1,594;-0,723;2;"2"
0;1,144;0,821;2;"2"
0;-1,715;0,899;2;"2"
0;0,109;1,168;2;"2"
1;1,263;-0,343;2;"2"
0;-0,333;0,993;2;"2"
1;1,357;0,127;2;"2"
0;-0,784;0,479;2;"2"
0;-1,276;0,609;2;"2"
0;0,654;1,121;2;"2"
0;0,913;-0,364;2;"2"
0;-2,001;-0,786;2;"2"
0;-1,423;0,495;2;"2"
0;-0,121;0,571;2;"2"
1;1,12;-1,401;2;"2"
0;-0,006;0,564;2;"2"
0;-0,234;0,633;2;"2"
0;0,109;0,024;3;"3"
0;2,415;2,426;3;"3"
0;-1,389;-0,634;3;"3"
0;2,006;0,766;3;"3"
0;0,02;-1,983;3;"3"
0;-0,883;1,46;3;"3"
0;-0,403;-0,483;3;"3"
0;-1,137;-0,543;3;"3"
0;-0,9;-0,685;3;"3"
0;-0,115;-0,346;3;"3"
1;-0,226;1,047;3;"3"
0;-3,059;0,668;3;"3"
1;1,729;2,79;3;"3"
0;-1,739;-0,109;3;"3"
0;0,562;0,069;3;"3"
0;-0,807;0,471;3;"3"
0;1,514;0,68;3;"3"
1;0,716;-0,666;3;"3"
0;-0,16;0,664;3;"3"
0;0,979;-1,282;3;"3"
