Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0293105,0.0293105,0.0293105,2.13884,3.60577,3.98123,6.16428,13.4824,16.5102,57.0518,65.0581,72.1028,99.6475,103.385,108.128,112.215,119.187,126.164,129.636,129.636,131.63,134.55,134.619,135.134,135.134,135.134,135.134,135.134,
Afghanistan,AFG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110616,0.844564,2.42653,4.67758,9.5349,17.2251,28.493,36.9786,35.0031,45.8136,49.228,52.0836,55.1595,57.2711,61.0546,65.9291,59.1208,59.356,
Angola,AGO,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00841297,0.0135074,0.0142988,0.0229016,0.0474193,0.063934,0.151259,0.157397,0.442589,0.799113,1.93141,3.94495,8.29037,15.1595,23.7333,31.2199,36.019,40.2606,49.8468,50.9206,51.0659,52.159,49.7932,45.0763,44.6861,43.1305,46.5986,
Albania,ALB,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0742247,0.10646,0.180025,0.352516,0.952019,12.5459,27.2217,35.2788,40.5679,49.5736,62.353,76.5471,61.9324,82.8692,91.3281,105.853,120.106,126.937,115.998,117.659,116.744,125.71,94.177,91.293,
Andorra,AND,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30757,1.2793,1.25086,4.42443,8.52704,13.3972,22.009,32.0025,36.004,43.7015,46.8101,70.9095,76.5516,81.8593,85.1975,76.802,76.5567,76.4228,77.5557,77.6673,77.4807,79.148,83.6239,91.4435,98.4928,104.332,107.283,113.957,
Arab World,ARB,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0.001379738049859,0.002051131378748,0.00276196807979,0.004340629473075,0.01098945145661,0.01745172423014,0.019836437566064,0.028779616197713,0.038821745330649,0.055449674361834,0.063371638364465,0.08092792529126,0.104376816102046,0.194121597934229,0.348452283871353,0.597837982204906,0.912799236123675,1.45276749896071,3.12805381702761,5.65042412982416,8.37890569875262,11.390564101492,16.5320195588952,26.2903350813828,38.0982259612012,51.4914976324354,61.6189332365846,74.5059077724841,87.9176664843384,96.8451978852646,102.675044792956,107.303985733029,106.923611955275,105.734758684788,103.190802647596,101.03078604645,100.281535534019,99.5714933226778,
United Arab Emirates,ARE,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,,,,,,,,,,,,,,,,,,,,,,,0.200033,0.29012,0.381461,0.580018,0.773725,0.894077,0.849566,1.44557,1.83644,2.22017,2.38293,3.24811,3.98747,5.34009,7.63389,11.5811,17.5343,28.0599,45.5675,57.81,69.7967,80.075,90.5261,98.8213,104.134,125.332,131.995,134.791,127.79,131.08,150.688,174.643,182.534,193.703,212.639,208.979,208.505,200.632,
Argentina,ARG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00715438,0.0367888,0.0755766,0.138953,0.329702,0.701001,1.16399,1.89245,5.63437,7.40601,10.5543,17.5965,18.0863,17.4268,20.5898,35.1044,56.9677,80.1998,101.808,116.039,129.642,139.58,146.955,154.059,159.639,143.616,143.567,146.454,140.877,132.093,130.874,
Armenia,ARM,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00946904,0.159587,0.251907,0.264194,0.569652,0.836008,2.35167,3.78998,6.77534,10.6681,42.5839,63.9842,49.5939,75.8805,134.339,111.635,115.207,115.485,118.772,118.422,116.975,118.464,121.259,122.349,
American Samoa,ASM,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40292,1.76401,2.30348,2.35135,2.39804,2.53527,2.67042,3.15496,3.44512,3.68585,3.44617,3.52917,3.77004,3.77004,3.77004,3.77004,3.77004,3.77004,,,,,,,,,,,
Antigua and Barbuda,ATG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85256,1.95247,2.04851,11.3828,28.9413,32.3784,48.7962,58.1337,67.2177,105.567,133.218,133.746,159.949,155.54,190.814,197.201,140.894,124.96,129.687,188.103,190.422,192.82,192.82,192.82,
Australia,AUS,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0273309,0.192205,0.565568,1.09043,1.69559,2.85597,3.91974,6.8545,12.4604,21.936,24.8977,26.4593,33.6115,45.0835,57.9953,65.3047,73.1088,82.8988,91.2851,96.2667,101.643,103.693,102.065,101.559,105.551,106.261,107.246,106.203,107.678,109.431,111.708,113.579,110.621,
Austria,AUT,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0.128197,0.250531,0.343262,0.481848,0.659865,0.954149,1.48471,2.2022,2.79849,3.50059,4.80012,7.46718,14.4369,28.5149,52.7926,75.8061,80.7755,82.8087,88.9693,97.2641,104.984,112.017,119.224,129.664,136.563,145.554,154.05,159.817,155.116,150.346,155.215,126.661,123.119,123.535,119.775,
Azerbaijan,AZE,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00650727,0.0771662,0.216407,0.504689,0.813527,4.59392,5.17559,8.90537,9.59519,12.6426,17.2391,26.2572,38.5104,51.7982,74.2246,86.9205,100.749,110.647,109.288,107.934,111.013,111.165,104.652,102.861,103.921,106.992,
Burundi,BDI,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00608825,0.0064079,0.00942034,0.00925726,0.0101109,0.0100233,0.012765,0.255845,0.51208,0.775643,0.926307,1.41004,2.07743,2.62886,3.43415,5.91408,10.9643,19.3419,21.3719,24.3038,26.5907,32.4376,49.1898,51.0852,54.6837,56.5347,57.6156,
Belgium,BEL,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0.0382534,0.0726493,0.192328,0.308522,0.42852,0.51218,0.609837,0.669762,1.26105,2.30955,4.68416,9.53163,17.1558,31.0732,54.746,74.5904,78.1656,82.5973,87.1336,91.0666,92.7294,100.379,105.223,108.428,111.11,113.457,111.078,110.411,113.488,113.166,110.537,104.74,103.439,99.7421,
Benin,BEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177799,0.0444189,0.0683739,0.0971521,0.109077,0.807987,1.76635,2.99874,3.14039,5.92673,7.46993,12.8482,24.2676,41.6856,56.2718,76.9074,82.0774,86.4182,96.2303,84.1894,88.1051,81.7921,78.5046,82.3843,87.702,
Burkina Faso,BFA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00506134,0.0140921,0.0248889,0.0446347,0.21748,0.637829,0.903051,1.88148,3.03854,4.72029,7.35116,13.037,20.5868,25.2533,36.5766,47.7686,60.2013,65.841,71.0473,79.7703,82.6115,93.5037,97.9123,100.212,
Bangladesh,BGD,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000231516,0.000453101,0.000979264,0.00217071,0.00339992,0.0216377,0.0611333,0.119019,0.218553,0.399727,0.811455,1.01267,2.03054,6.47317,13.5757,24.0922,30.9347,35.1957,46.0266,56.5197,64.3552,76.2975,82.1047,84.0771,86.0769,94.5265,97.2812,101.549,
Bulgaria,BGR,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116604,0.0766977,0.249663,0.320648,0.85243,1.56064,4.33866,9.22736,19.5443,33.0215,44.8581,61.0711,81.2404,108.156,130.631,138.608,139.892,137.373,141.965,146.997,143.85,130.933,127.708,125.474,120.14,118.117,116.206,
Bahrain,BHR,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0.142567,0.381316,0.620381,0.883624,1.03785,1.44264,1.85113,2.11857,3.20534,4.89625,6.92628,9.8403,15.0013,20.9677,30.9545,42.9488,52.9133,56.9031,78.2995,86.2724,94.6803,107.728,129.26,118.302,126.283,132.508,163.384,168.072,174.316,183.625,210.049,158.257,133.341,115.793,
